URL,GPE,LOC,NORP,ORG,PERSON,PRODUCT,WORK_OF_ART,url
0,5.0,1.0,1.0,16.0,33.0,2.0,2.0,southsidedocs.com
1,15.0,2.0,1.0,98.0,32.0,4.0,7.0,jfkmc.org
2,7.0,3.0,,37.0,5.0,,2.0,www.khnorthernindiana.com
3,7.0,9.0,,26.0,5.0,,7.0,www.valleychildrens.org
4,29.0,2.0,3.0,120.0,29.0,,3.0,www.northwestmed.com
5,4.0,,,39.0,3.0,,3.0,www.stlukeswoodlands.com
6,3.0,,1.0,74.0,9.0,2.0,5.0,www.hopkinsbayview.org
7,11.0,4.0,1.0,25.0,4.0,,1.0,www.winnparishmedical.com
8,3.0,1.0,1.0,45.0,1.0,,3.0,www.tvhcare.org
9,10.0,1.0,,46.0,5.0,,1.0,www.optimhealth.com
10,6.0,1.0,2.0,49.0,6.0,1.0,4.0,www.integrisok.com
11,1.0,,,13.0,1.0,,,www.tycobbhealthcare.org
12,2.0,3.0,2.0,99.0,21.0,1.0,3.0,www.rwjuh.edu
13,4.0,,2.0,29.0,5.0,,1.0,www.mmcwm.com
14,2.0,1.0,1.0,20.0,,,3.0,www.lincolnsurgery.com
15,10.0,,1.0,21.0,9.0,1.0,3.0,www.brookeglenhospital.com
16,3.0,1.0,,14.0,1.0,1.0,1.0,www.putnamgeneral.com
17,11.0,1.0,,52.0,10.0,1.0,9.0,www.alvaradohospital.com
18,6.0,1.0,,20.0,2.0,,3.0,www.themeadows.net
19,7.0,1.0,,70.0,8.0,,2.0,www.nwtexashealthcare.com
20,7.0,1.0,,42.0,6.0,1.0,1.0,www.barnesvillehospital.com
21,75.0,4.0,2.0,262.0,59.0,,2.0,centrasouthside.com
22,5.0,,,18.0,12.0,,1.0,www.cascademedicalcenter.net
23,14.0,,,29.0,34.0,,2.0,www.nebraskaspinehospital.com
24,6.0,2.0,,51.0,7.0,,2.0,www.jrmc.com
25,6.0,1.0,2.0,73.0,9.0,,2.0,www.harrishealth.org
26,8.0,1.0,1.0,44.0,7.0,1.0,1.0,williamsonmedicalcenter.org
27,14.0,5.0,,35.0,6.0,,2.0,www.khbayareahouston.com
28,2.0,,,9.0,2.0,,,www.pawneehospital.com
29,13.0,,2.0,109.0,16.0,,2.0,www.hdghmi.org
30,11.0,1.0,,46.0,6.0,,4.0,www.trusthchs.com
31,22.0,5.0,6.0,75.0,17.0,,6.0,www.northwesthillssurgical.com
32,3.0,,2.0,44.0,1.0,,2.0,www.uabmedicine.org
33,6.0,,,7.0,1.0,,,www.tchealth.org
34,21.0,5.0,1.0,255.0,39.0,,12.0,sphn.com
35,20.0,3.0,1.0,108.0,4.0,,,www.kmc.org
36,89.0,5.0,57.0,145.0,25.0,,6.0,www.msha.com
37,16.0,1.0,1.0,221.0,61.0,2.0,13.0,www.grandstrandmed.com
38,6.0,,1.0,31.0,1.0,,,www.bremenhospital.com
39,1.0,1.0,,14.0,1.0,,,ncbhok.org
40,12.0,,,57.0,9.0,2.0,1.0,www.gwch.org
41,14.0,4.0,,22.0,4.0,,2.0,www.nolandhealth.com
42,6.0,1.0,1.0,4.0,7.0,,,www.sphosp.com
43,3.0,,1.0,26.0,5.0,,3.0,www.healthsouthrehabconcordnh.com
44,2.0,,,21.0,3.0,,1.0,freedompainhospital.com
45,2.0,3.0,1.0,18.0,3.0,3.0,,www.nahealth.com
46,59.0,5.0,5.0,71.0,10.0,,5.0,www.stvincents.org
47,21.0,2.0,1.0,53.0,7.0,,8.0,www.dallasregionalmedicalcenter.com
48,7.0,,,60.0,17.0,1.0,1.0,www.gmha.org
49,,,1.0,17.0,5.0,2.0,,www.smmcnj.org
50,3.0,,1.0,28.0,5.0,,4.0,www.nittanyvalleyrehab.com
51,15.0,1.0,1.0,64.0,10.0,1.0,2.0,www.stjohnbrokenarrow.com
52,27.0,1.0,,110.0,23.0,1.0,8.0,www.cooperhealth.org
53,2.0,,,9.0,3.0,,,www.gordonhospital.com
54,5.0,3.0,,13.0,1.0,,1.0,www.mvmc.org
