URL,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PART,PRON,PUNCT,SYM,VERB,url
0,21.0,25.0,2.0,10.0,8.0,44.0,17.0,3.0,5.0,40,4.0,21.0,southsidedocs.com
1,69.0,91.0,25.0,45.0,55.0,142.0,35.0,11.0,6.0,105,8.0,76.0,jfkmc.org
2,65.0,73.0,26.0,19.0,34.0,145.0,38.0,19.0,20.0,64,12.0,91.0,www.khnorthernindiana.com
3,38.0,44.0,11.0,19.0,16.0,90.0,32.0,14.0,5.0,37,3.0,39.0,www.valleychildrens.org
4,498.0,409.0,81.0,132.0,182.0,1084.0,408.0,101.0,98.0,590,97.0,660.0,www.northwestmed.com
5,11.0,13.0,5.0,16.0,21.0,45.0,2.0,8.0,4.0,21,2.0,24.0,www.stlukeswoodlands.com
6,50.0,67.0,3.0,31.0,48.0,132.0,7.0,13.0,15.0,67,5.0,84.0,www.hopkinsbayview.org
7,37.0,38.0,5.0,15.0,20.0,99.0,16.0,7.0,15.0,47,4.0,49.0,www.winnparishmedical.com
8,23.0,44.0,4.0,17.0,19.0,93.0,17.0,2.0,8.0,96,6.0,32.0,www.tvhcare.org
9,62.0,49.0,6.0,19.0,25.0,137.0,23.0,13.0,13.0,127,2.0,81.0,www.optimhealth.com
10,57.0,56.0,22.0,26.0,32.0,125.0,18.0,18.0,32.0,61,7.0,68.0,www.integrisok.com
11,8.0,9.0,5.0,3.0,11.0,30.0,,4.0,,13,,14.0,www.tycobbhealthcare.org
12,8.0,17.0,11.0,30.0,19.0,27.0,9.0,13.0,4.0,55,9.0,33.0,www.rwjuh.edu
13,34.0,30.0,8.0,19.0,22.0,95.0,9.0,8.0,11.0,53,6.0,36.0,www.mmcwm.com
14,38.0,29.0,4.0,5.0,16.0,61.0,10.0,3.0,9.0,29,2.0,38.0,www.lincolnsurgery.com
15,63.0,64.0,8.0,26.0,36.0,136.0,30.0,3.0,19.0,75,8.0,74.0,www.brookeglenhospital.com
16,8.0,2.0,2.0,1.0,2.0,14.0,5.0,1.0,2.0,6,1.0,2.0,www.putnamgeneral.com
17,62.0,55.0,16.0,28.0,29.0,85.0,51.0,11.0,17.0,83,16.0,62.0,www.alvaradohospital.com
18,40.0,46.0,7.0,14.0,38.0,97.0,5.0,4.0,2.0,46,,52.0,www.themeadows.net
19,61.0,67.0,13.0,27.0,65.0,141.0,23.0,14.0,6.0,88,11.0,94.0,www.nwtexashealthcare.com
20,37.0,42.0,5.0,12.0,21.0,75.0,12.0,5.0,4.0,59,3.0,47.0,www.barnesvillehospital.com
21,95.0,115.0,29.0,75.0,101.0,230.0,17.0,30.0,23.0,178,5.0,132.0,centrasouthside.com
22,24.0,25.0,3.0,15.0,22.0,55.0,20.0,10.0,13.0,41,10.0,37.0,www.cascademedicalcenter.net
23,143.0,127.0,67.0,47.0,100.0,226.0,30.0,22.0,75.0,155,2.0,204.0,www.nebraskaspinehospital.com
24,22.0,30.0,5.0,17.0,19.0,61.0,12.0,6.0,3.0,31,5.0,32.0,www.jrmc.com
25,94.0,114.0,17.0,30.0,63.0,201.0,27.0,21.0,11.0,89,5.0,132.0,www.harrishealth.org
26,53.0,55.0,22.0,27.0,29.0,85.0,17.0,9.0,23.0,55,11.0,77.0,williamsonmedicalcenter.org
27,60.0,69.0,29.0,19.0,34.0,141.0,34.0,18.0,17.0,79,7.0,86.0,www.khbayareahouston.com
28,6.0,13.0,,1.0,7.0,35.0,,1.0,1.0,15,5.0,11.0,www.pawneehospital.com
29,54.0,92.0,21.0,99.0,38.0,186.0,95.0,22.0,29.0,243,19.0,124.0,www.hdghmi.org
30,10.0,27.0,5.0,16.0,13.0,49.0,26.0,5.0,5.0,45,7.0,24.0,www.trusthchs.com
31,203.0,171.0,73.0,74.0,146.0,423.0,35.0,32.0,38.0,201,9.0,227.0,www.northwesthillssurgical.com
32,73.0,63.0,24.0,28.0,47.0,172.0,22.0,11.0,21.0,75,2.0,92.0,www.uabmedicine.org
33,1.0,4.0,,,1.0,5.0,15.0,,2.0,17,,1.0,www.tchealth.org
34,201.0,160.0,70.0,165.0,177.0,372.0,34.0,77.0,42.0,203,7.0,257.0,sphn.com
35,45.0,37.0,12.0,35.0,33.0,107.0,26.0,2.0,,79,8.0,47.0,www.kmc.org
36,190.0,128.0,73.0,64.0,71.0,338.0,165.0,26.0,37.0,277,28.0,173.0,www.msha.com
37,385.0,565.0,167.0,144.0,569.0,1389.0,549.0,112.0,97.0,679,137.0,770.0,www.grandstrandmed.com
38,17.0,27.0,3.0,6.0,13.0,31.0,12.0,2.0,5.0,23,5.0,25.0,www.bremenhospital.com
39,18.0,23.0,3.0,6.0,5.0,45.0,10.0,,5.0,31,7.0,13.0,ncbhok.org
40,68.0,55.0,17.0,23.0,45.0,129.0,41.0,14.0,20.0,105,5.0,92.0,www.gwch.org
41,16.0,20.0,2.0,10.0,8.0,38.0,16.0,1.0,1.0,24,1.0,16.0,www.nolandhealth.com
42,3.0,8.0,4.0,,2.0,23.0,25.0,,3.0,11,,10.0,www.sphosp.com
43,50.0,39.0,10.0,9.0,19.0,68.0,9.0,10.0,10.0,40,2.0,54.0,www.healthsouthrehabconcordnh.com
44,37.0,29.0,20.0,10.0,19.0,71.0,10.0,5.0,10.0,57,1.0,46.0,freedompainhospital.com
45,41.0,32.0,11.0,20.0,21.0,99.0,26.0,5.0,11.0,56,3.0,40.0,www.nahealth.com
46,101.0,105.0,47.0,95.0,33.0,238.0,45.0,19.0,15.0,130,30.0,97.0,www.stvincents.org
47,62.0,60.0,15.0,21.0,41.0,125.0,21.0,14.0,16.0,79,1.0,74.0,www.dallasregionalmedicalcenter.com
48,35.0,41.0,13.0,13.0,21.0,70.0,30.0,8.0,14.0,58,6.0,61.0,www.gmha.org
49,303.0,264.0,168.0,112.0,179.0,576.0,52.0,63.0,89.0,237,1.0,474.0,www.smmcnj.org
50,47.0,36.0,10.0,8.0,19.0,53.0,7.0,10.0,10.0,37,,52.0,www.nittanyvalleyrehab.com
51,51.0,48.0,15.0,15.0,25.0,101.0,11.0,7.0,6.0,50,15.0,47.0,www.stjohnbrokenarrow.com
52,129.0,190.0,33.0,80.0,84.0,314.0,99.0,39.0,34.0,174,8.0,205.0,www.cooperhealth.org
53,21.0,12.0,,5.0,8.0,34.0,17.0,,6.0,30,8.0,17.0,www.gordonhospital.com
54,29.0,37.0,4.0,7.0,20.0,70.0,16.0,4.0,7.0,31,5.0,28.0,www.mvmc.org
55,43.0,56.0,6.0,14.0,32.0,87.0,33.0,6.0,2.0,102,4.0,52.0,mtgrantgenhospital.org
56,62.0,73.0,9.0,41.0,52.0,140.0,41.0,11.0,14.0,82,19.0,115.0,www.milfordhospital.org
57,20.0,38.0,11.0,14.0,15.0,66.0,25.0,2.0,5.0,36,6.0,33.0,www.fmh.org
58,14.0,27.0,2.0,13.0,6.0,34.0,17.0,4.0,2.0,20,9.0,24.0,www.ioshospital.com
59,43.0,30.0,15.0,14.0,19.0,103.0,34.0,10.0,10.0,63,11.0,48.0,www.billingsclinic.com
60,30.0,42.0,22.0,10.0,20.0,89.0,100.0,7.0,4.0,52,15.0,68.0,www.rankenjordan.org
61,44.0,61.0,12.0,29.0,40.0,116.0,23.0,11.0,9.0,73,6.0,67.0,www.oceanmedicalcenter.com
62,,,,,,,,,,3,,,www.chospital.org
63,21.0,23.0,2.0,10.0,12.0,45.0,3.0,4.0,10.0,16,1.0,33.0,www.mchhs.org
64,113.0,57.0,6.0,26.0,37.0,104.0,28.0,5.0,9.0,71,4.0,61.0,www.ricehospital.com
65,9.0,6.0,6.0,1.0,4.0,31.0,4.0,2.0,1.0,12,2.0,19.0,www.wuesthoff.com
66,35.0,36.0,33.0,38.0,16.0,70.0,11.0,18.0,6.0,31,4.0,48.0,www.archildrens.org
67,8.0,15.0,5.0,6.0,14.0,29.0,3.0,5.0,2.0,22,4.0,21.0,umuch.org
68,16.0,17.0,8.0,12.0,10.0,49.0,8.0,3.0,,42,,19.0,www.wellstonehospital.com
69,30.0,32.0,4.0,8.0,10.0,40.0,8.0,1.0,4.0,74,3.0,24.0,www.reevescountyhospital.com
70,9.0,5.0,,,7.0,23.0,,3.0,2.0,10,,18.0,scottsdale.selectspecialtyhospitals.com
71,138.0,120.0,39.0,19.0,64.0,189.0,20.0,23.0,49.0,98,1.0,165.0,vhboise.com
72,16.0,15.0,10.0,1.0,4.0,32.0,20.0,3.0,8.0,33,4.0,17.0,www.decaturhealthsystems.org
73,526.0,460.0,154.0,242.0,335.0,1098.0,189.0,65.0,94.0,589,54.0,494.0,bestheartcare.com
74,68.0,75.0,14.0,79.0,41.0,171.0,14.0,9.0,7.0,70,71.0,88.0,www.nwhc.net
